,ARC074,ARC110,ARC126,ARC347,ARC348,ARC385,ARC487,ARC495,ARC528,ARC575,ARC582,ARC583,ARC584,ARC595,ARC659
ARC074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARC347,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARC348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARC385,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARC487,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARC495,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARC528,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARC575,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ARC582,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ARC583,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARC584,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ARC595,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARC659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
