,ARC020,ARC021,ARC022,ARC083,ARC124,ARC150,ARC180,ARC201,ARC202,ARC303,ARC320,ARC393,ARC434,ARC533,ARC569,ARC598
ARC020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC083,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARC124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARC150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARC180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARC201,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARC202,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARC303,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARC320,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ARC393,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ARC434,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARC533,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ARC569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARC598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
