,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
43,ARC017,44_e,308,252,266,394,367,238,431,228
44,ARC049,44_e,282,262,262,398,331,228,429,220
45,ARC050,44_e,282,244,262,396,347,236,423,246
46,ARC089,44_e,314,262,286,392,339,224,451,264
47,ARC128,44_e,306,262,266,410,351,220,431,228
48,ARC154,44_e,306,258,274,394,361,238,439,246
49,ARC155,44_e,300,260,270,408,357,262,451,220
50,ARC170,44_e,308,262,278,386,357,226,451,222
51,ARC171,44_e,304,256,270,384,357,226,431,236
52,ARC188,44_e,318,258,286,408,333,230,447,220
53,ARC189,44_e,314,250,262,378,337,224,431,246
54,ARC217,44_e,314,250,266,368,345,224,431,224
55,ARC248,44_e,316,262,270,386,333,226,433,246
56,ARC249,44_e,294,260,258,396,341,234,425,268
57,ARC313,44_e,306,250,262,398,345,224,431,246
58,ARC324,44_e,306,262,266,368,345,224,431,224
59,ARC325,44_e,316,262,266,408,377,250,427,324
60,ARC326,44_e,306,250,262,408,371,234,431,320
61,ARC341,44_e,300,258,270,408,357,226,447,226
62,ARC352,44_e,308,248,286,394,355,236,451,220
63,ARC361,44_e,268,262,266,394,365,232,431,246
64,ARC362,44_e,304,260,262,406,355,226,425,246
65,ARC378,44_e,308,262,266,368,365,246,431,318
66,ARC399,44_e,302,260,262,408,353,246,439,220
67,ARC410,44_e,308,258,278,412,361,236,429,246
68,ARC412,44_e,304,250,258,406,347,224,421,230
69,ARC431,44_e,296,246,278,388,335,226,431,222
70,ARC442,44_e,306,256,286,446,337,220,447,222
71,ARC459,44_e,300,258,262,410,351,234,449,322
72,ARC512,44_e,320,254,274,402,337,230,429,258
73,ARC544,44_e,322,258,274,394,361,232,427,246
74,ARC578,44_e,316,262,278,386,357,228,427,246
75,ARC579,44_e,314,246,248,400,345,224,427,250
76,ARC580,44_e,308,270,270,394,367,230,433,246
77,ARC581,44_e,316,260,266,394,345,234,451,246
78,ARC591,44_e,308,260,270,384,355,232,427,246
79,ARC592,44_e,308,250,286,432,361,232,447,222
80,ARC638,44_e,278,262,272,388,339,232,433,234
81,ARC663,44_e,306,258,286,410,361,230,431,222
82,ARC664,44_e,316,262,266,368,331,224,431,224
